#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:47:50
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20010114	0900	20010114	1620	WS	00530		00100454	LK-S26	040871488	9	179	
USGS	20010114	0900	20010114	1620	WS	00605		00100454	LK-S26	040871488	9	2.7	
USGS	20010114	0900	20010114	1620	WS	00608		00100454	LK-S26	040871488	9	.226	
USGS	20010114	0900	20010114	1620	WS	00625		00100454	LK-S26	040871488	9	2.9	
USGS	20010114	0900	20010114	1620	WS	00903		00100454	LK-S26	040871488	9	216	
USGS	20010114	0900	20010114	1620	WS	00916		00100454	LK-S26	040871488	9	93.0	
USGS	20010114	0900	20010114	1620	WS	00921		00100454	LK-S26	040871488	9	27	
USGS	20010114	0900	20010114	1620	WS	00939		00100454	LK-S26	040871488	9	15.0	
USGS	20010114	0900	20010114	1620	WS	01094		00100454	LK-S26	040871488	9	190	
USGS	20010114	0900	20010114	1620	WS	01114		00100454	LK-S26	040871488	9	27	
USGS	20010114	0900	20010114	1620	WS	01119		00100454	LK-S26	040871488	9	27	
USGS	20010114	0900	20010114	1620	WS	71846		00100454	LK-S26	040871488	9	.291	
USGS	20010114	0900	20010114	1620	WS	82398		00100454	LK-S26	040871488	9	50	
USGS	20010114	0900	20010114	1620	WS	90095		00100454	LK-S26	040871488	9	6130	
USGS	20010114	0900	20010114	1620	WS	91075		00100454	LK-S26	040871488	9	45.0	
USGS	20010114	0900	20010114	1620	WS	91080		00100454	LK-S26	040871488	9	190	
USGS	20010114	0900	20010114	1620	WS	99220		00100454	LK-S26	040871488	9	2000	
USGS	20010114	0900	20010114	1620	WS	99904		00100454	LK-S26	040871488	9	1100	
USGS	20010114	0900	20010114	1620	WS	99908		00100454	LK-S26	040871488	9	340	
USGS	20010129	1010	20010129	1950	WS	00028		00101051	LK-S27	040871488	9	85543	
USGS	20010129	1010	20010129	1950	WS	00310		00101051	LK-S27	040871488	9	219	
USGS	20010129	1010	20010129	1950	WS	00335		00101051	LK-S27	040871488	9	460	
USGS	20010129	1010	20010129	1950	WS	00403		00101051	LK-S27	040871488	9	7.6	
USGS	20010129	1010	20010129	1950	WS	00417		00101051	LK-S27	040871488	9	214	
USGS	20010129	1010	20010129	1950	WS	00530		00101051	LK-S27	040871488	9	466	
USGS	20010129	1010	20010129	1950	WS	00605		00101051	LK-S27	040871488	9	2.1	
USGS	20010129	1010	20010129	1950	WS	00608		00101051	LK-S27	040871488	9	.442	
USGS	20010129	1010	20010129	1950	WS	00625		00101051	LK-S27	040871488	9	2.5	
USGS	20010129	1010	20010129	1950	WS	00939		00101051	LK-S27	040871488	9	44.0	
USGS	20010129	1010	20010129	1950	WS	71846		00101051	LK-S27	040871488	9	.569	
USGS	20010129	1010	20010129	1950	WS	82398		00101051	LK-S27	040871488	9	50	
USGS	20010129	1010	20010129	1950	WS	90095		00101051	LK-S27	040871488	9	12100	
USGS	20010129	1010	20010129	1950	WS	91075	<	00101051	LK-S27	040871488	9	18.0	
USGS	20010129	1010	20010129	1950	WS	91080		00101051	LK-S27	040871488	9	150	
USGS	20010129	1010	20010129	1950	WS	99220		00101051	LK-S27	040871488	9	4400	
USGS	20010129	1010	20010129	1950	WS	99904		00101051	LK-S27	040871488	9	1100	
USGS	20010224	0830	20010224	1745	WS	00028		00101052	LK-S28	040871488	9	85543	
USGS	20010224	0830	20010224	1745	WS	00310	>	00101052	LK-S28	040871488	9	138	
USGS	20010224	0830	20010224	1745	WS	00335		00101052	LK-S28	040871488	9	600	
USGS	20010224	0830	20010224	1745	WS	00403		00101052	LK-S28	040871488	9	7.7	
USGS	20010224	0830	20010224	1745	WS	00417		00101052	LK-S28	040871488	9	182	
USGS	20010224	0830	20010224	1745	WS	00605		00101052	LK-S28	040871488	9	2.7	
USGS	20010224	0830	20010224	1745	WS	00608		00101052	LK-S28	040871488	9	.472	
USGS	20010224	0830	20010224	1745	WS	00625		00101052	LK-S28	040871488	9	3.1	
USGS	20010224	0830	20010224	1745	WS	00939		00101052	LK-S28	040871488	9	100	
USGS	20010224	0830	20010224	1745	WS	71846		00101052	LK-S28	040871488	9	.608	
USGS	20010224	0830	20010224	1745	WS	82398		00101052	LK-S28	040871488	9	50	
USGS	20010224	0830	20010224	1745	WS	90095		00101052	LK-S28	040871488	9	5570	
