Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
240,0.058014979,0.09941789,0.037519308,0.010234893
241,0.054386524,0.096335525,0.039750534,0.010487175
242,0.051718106,0.092628735,0.041870313,0.010190229
243,0.049358075,0.086972127,0.044080778,0.010164932
244,0.047847042,0.0813005,0.046241833,0.010157647
245,0.046314118,0.075820776,0.048479086,0.010056661
246,0.045627078,0.070910218,0.050192664,0.010123851
247,0.044286636,0.065954762,0.05221315,0.009879324
248,0.044175578,0.062150548,0.054318416,0.010361626
249,0.044025114,0.05859674,0.056274551,0.010201355
250,0.043590417,0.056211649,0.058092149,0.010406492
251,0.043843066,0.05390752,0.059318999,0.010487971
252,0.04374293,0.052623945,0.060479677,0.010604329
253,0.044016989,0.052081818,0.061071387,0.010362739
254,0.044471563,0.051139305,0.061820327,0.010150867
255,0.044684341,0.050288892,0.062739837,0.010687489
256,0.044800805,0.049487608,0.063553403,0.010566494
257,0.044129865,0.048078409,0.064056265,0.010076179
258,0.043908631,0.046769268,0.064010287,0.010280674
259,0.043667612,0.046321331,0.063225056,0.009897774
260,0.043541675,0.04645004,0.062333851,0.009430002
261,0.043728148,0.04662191,0.06135024,0.009090178
262,0.043833913,0.04629312,0.059847011,0.008887562
263,0.043579811,0.045761483,0.058440714,0.008801235
264,0.042956883,0.044608353,0.057261484,0.008548109
265,0.041956486,0.043103526,0.056022728,0.008506415
266,0.039949255,0.040676973,0.054331525,0.008232364
267,0.038105955,0.038857179,0.052931926,0.008230176
268,0.036694305,0.037608991,0.051998208,0.008172823
269,0.035087859,0.0362977,0.050602722,0.007933134
270,0.033370239,0.034385281,0.04892918,0.008083738
271,0.031944981,0.033345802,0.047099835,0.008081471
272,0.030512625,0.032592973,0.045462272,0.008119328
273,0.028823331,0.031498502,0.043960026,0.00842705
274,0.026916334,0.030428235,0.04245214,0.008431878
275,0.025383228,0.029643734,0.040774661,0.008552094
276,0.024515364,0.028691792,0.038801881,0.008820379
277,0.023024531,0.02756328,0.037047929,0.008695125
278,0.022167539,0.026823648,0.035248565,0.009115121
279,0.021382419,0.026024689,0.033455732,0.009530234
280,0.020450944,0.02600271,0.032196129,0.009309013
281,0.020043777,0.025120309,0.030632314,0.009763476
282,0.019822351,0.025166894,0.028646498,0.010124937
283,0.019595602,0.024464863,0.026348403,0.010136379
284,0.01980043,0.024529367,0.024548621,0.010746473
285,0.019920421,0.024636245,0.023262369,0.010679613
286,0.020084778,0.024644435,0.021421871,0.010793715
287,0.020825881,0.024357672,0.019789056,0.010771354
288,0.02129825,0.024499743,0.01820262,0.011418495
289,0.022366479,0.025001195,0.016724211,0.011945143
290,0.02283551,0.025014077,0.015640241,0.012319924
291,0.023271437,0.02520671,0.014030582,0.012666176
292,0.024199584,0.025579632,0.012697908,0.012401096
293,0.024970948,0.026093134,0.011867684,0.0130363
294,0.025511875,0.026193582,0.010480928,0.013048032
295,0.026667483,0.027004913,0.009484222,0.013946308
296,0.027679203,0.027670466,0.009068431,0.014039944
297,0.028218604,0.028500647,0.008403031,0.014278108
