Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
CG,S05,140423.26,1262.41,12/10/1997 7:25,12/10/1997 20:45,
CG,S06,36443.79,21.43,1/4/1998 6:10,1/4/1998 12:00,
CG,S07,0,0,1/8/1998 9:45,,
CG,S08,1953.86,76.2,3/3/1998 8:55,3/3/1998 10:15,
CG,S09,999301.64,35.97,7/20/1998 19:06,7/20/1998 20:04,
CG,S10,0,0,12/20/1998 22:30,,
CG,S11,283.17,0.71,12/29/1998 6:10,12/29/1998 12:19,
CG,S12,283.17,0.01,1/11/1999 7:08,1/11/1999 22:50,
CG,S13,314883.37,189.24,1/17/1999 13:30,1/17/1999 18:45,
CG,S14,3681.19,11.56,3/13/1999 15:03,3/13/1999 16:16,
CG,S15,121592.55,181.17,3/15/1999 14:47,3/17/1999 8:08,
CG,S17,24352.49,861.35,1/3/2000 15:38,1/4/2000 10:32,
CG,S20,702257.88,560.4,2/22/2000 11:27,2/24/2000 10:25,
CG,S22,124594.14,164.22,4/7/2000 12:37,4/8/2000 0:36,
CG,S23,1104357.15,39.76,9/22/2000 12:36,9/22/2000 21:06,
CG,S25,92227.98,1753.99,12/16/2000 6:18,12/16/2000 16:44,
CG,S26,249060.85,178.33,1/14/2001 6:45,1/14/2001 12:37,
CG,S27,145576.93,1400.16,1/29/2001 6:45,1/29/2001 13:55,
CG,S28,418607.99,970.33,2/24/2001 6:19,2/24/2001 13:27,
CG,S29,285263.95,604.19,3/20/2001 11:23,3/26/2001 13:16,
CG,S30,311485.35,11.21,10/24/2001 0:36,10/24/2001 1:47,
CG,S31,229366.49,181.89,1/14/2002 5:54,1/14/2002 13:52,
CG,S32,31148.54,30.46,1/16/2002 14:05,1/17/2002 3:51,
CG,S33,566337,2105.64,1/31/2002 5:35,2/1/2002 12:30,
CG,S34,28316.85,159.08,2/21/2002 5:26,2/21/2002 12:59,
CG,S35,133089.2,483.11,3/1/2002 21:47,3/3/2002 5:10,
CG,S36,578796.41,20.84,10/2/2002 1:28,10/2/2002 6:56,
