#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:45:21
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20010114	0645	20010114	1237	WS	01094		00100453	CG-S26	040871476	9	390	
USGS	20010114	0645	20010114	1237	WS	01114		00100453	CG-S26	040871476	9	36	
USGS	20010114	0645	20010114	1237	WS	01119		00100453	CG-S26	040871476	9	26	
USGS	20010114	0645	20010114	1237	WS	71846		00100453	CG-S26	040871476	9	.486	
USGS	20010114	0645	20010114	1237	WS	82398		00100453	CG-S26	040871476	9	50	
USGS	20010114	0645	20010114	1237	WS	90095		00100453	CG-S26	040871476	9	796	
USGS	20010114	0645	20010114	1237	WS	91075		00100453	CG-S26	040871476	9	26.0	
USGS	20010114	0645	20010114	1237	WS	91080		00100453	CG-S26	040871476	9	690	
USGS	20010114	0645	20010114	1237	WS	99220		00100453	CG-S26	040871476	9	42	
USGS	20010114	0645	20010114	1237	WS	99904		00100453	CG-S26	040871476	9	8.8	
USGS	20010114	0645	20010114	1237	WS	99908		00100453	CG-S26	040871476	9	77.0	
USGS	20010114	0753			WS	00028		00100456		040871476	9	85543	
USGS	20010114	0753			WS	00061		00100456		040871476	9	.13	
USGS	20010114	0753			WS	00556		00100456		040871476	9	6	
USGS	20010114	0753			WS	30209		00100456		040871476	9	.00	
USGS	20010114	0753			WS	82398		00100456		040871476	9	70	
USGS	20010129	0645	20010129	1355	WS	00028		00101057	CG-S27	040871476	9	85543	
USGS	20010129	0645	20010129	1355	WS	00310	>	00101057	CG-S27	040871476	9	2100	
USGS	20010129	0645	20010129	1355	WS	00335		00101057	CG-S27	040871476	9	20000	
USGS	20010129	0645	20010129	1355	WS	00403		00101057	CG-S27	040871476	9	7.4	
USGS	20010129	0645	20010129	1355	WS	00417		00101057	CG-S27	040871476	9	1780	
