STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726400,14839, 19910108,   28.2,24,   21.1,24, 1029.7,24, 9999.9, 0,   8.7,24,  10.6,24,  14.0,  19.0,   32.0*,  24.1*, 0.00D,  3.9, 000000,
726400,14839, 19910109,   27.4,24,   21.7,24, 1026.6,24, 9999.9, 0,   3.9,24,   9.0,24,  12.0, 999.9,   30.0*,  24.1*, 0.02G,  3.9, 111000,
726400,14839, 19910110,   20.6,24,   14.7,24, 1035.1,24, 9999.9, 0,   5.0,24,   7.8,24,  18.1, 999.9,   30.0*,  14.0*, 0.00G,  3.9, 101000,
726400,14839, 19910111,   28.2,24,   25.7,24, 1020.6,24, 9999.9, 0,   2.2,24,  14.1,24,  19.0,  22.0,   28.9*,  26.1*, 0.24G,  7.9, 101000,
726400,14839, 19910112,   26.8,24,   23.3,24, 1015.2,24, 9999.9, 0,   4.4,24,  11.1,24,  15.9, 999.9,   30.0*,  24.1*, 0.56G, 11.0, 101000,
726400,14839, 19910113,   26.9,24,   22.1,24, 1016.0,24, 9999.9, 0,   4.2,24,  10.1,24,  17.1,  25.1,   28.9*,  24.1*, 0.01G,  9.8, 101000,
726400,14839, 19910114,   31.3,24,   27.5,24, 1007.9,24, 9999.9, 0,   4.1,24,  12.0,24,  17.1, 999.9,   36.0*,  27.0*, 0.00D,  9.1, 100000,
726400,14839, 19910115,   33.2,24,   29.5,24, 1014.7,24, 9999.9, 0,   4.0,24,   6.2,24,  11.1, 999.9,   36.0*,  30.0*, 0.00G,  7.9, 100000,
726400,14839, 19910116,   33.5,24,   31.5,24, 1010.5,24, 9999.9, 0,   1.9,24,  12.3,24,  17.1, 999.9,   36.0*,  28.0*, 0.18G,  5.9, 111000,
726400,14839, 19910117,   27.3,24,   20.6,24, 1014.7,24, 9999.9, 0,   7.4,24,  12.7,24,  15.9, 999.9,   33.1*,  25.0*, 0.01G,  5.9, 101000,
726400,14839, 19910118,   22.0,24,   15.0,24, 1017.8,24, 9999.9, 0,   8.1,24,  11.2,24,  17.1,  20.0,   28.9*,  14.0*, 0.00G,  5.9, 100000,
726400,14839, 19910119,   32.9,24,   27.7,24, 1009.2,24, 9999.9, 0,   4.4,24,  17.5,24,  26.0,  28.0,   43.0*,  27.0*, 0.00G,  5.1, 100000,
726400,14839, 19910120,   31.3,24,   25.0,24, 1006.9,24, 9999.9, 0,   6.6,24,  13.2,24,  20.0,  26.0,   37.9*,  19.0*, 0.01G,  3.9, 001000,
